"exercicio","Funcao_cod","Funcao_desc","Acao_cod","Acao_desc","ModalidadeAplicacao_cod","ModalidadeAplicacao_desc","ResultadoPrimario_cod","ResultadoPrimario_desc","ploa","loa","loa_mais_credito","empenhado","liquidado","pago","Ano"
"2022","15","Urbanismo","00SZ","Apoio ao Transporte Não Motorizado","99","A DEFINIR","6","Primária discricionária, decorrente de emendas individuais, considerada no cálculo do RP",0,1100000,0,0,0,0,2022
"2022","08","Assistência Social","8458","Apoio à Agricultura Urbana","99","A DEFINIR","6","Primária discricionária, decorrente de emendas individuais, considerada no cálculo do RP",0,703269,0,0,0,0,2022
"2022","10","Saúde","8535","Estruturação de Unidades de Atenção Especializada em Saúde","41","Transferências a Municípios - Fundo a Fundo","7","Primária discricionária, decorrente de emendas de bancada estadual, considerada no cálculo do RP",0,43952235,43694185,43437295,41061298,41061298,2022
"2022","26","Transporte","7XI7","Adequação de Trecho Rodoviário - Erechim - Passo Fundo - na BR-153/RS","90","Aplicações Diretas","7","Primária discricionária, decorrente de emendas de bancada estadual, considerada no cálculo do RP",0,5600000,0,0,0,0,2022
"2022","12","Educação","0509","Apoio ao Desenvolvimento da Educação Básica","99","A DEFINIR","6","Primária discricionária, decorrente de emendas individuais, considerada no cálculo do RP",0,11090001,1,0,0,0,2022
"2022","18","Gestão Ambiental","2E87","Apoio à Formulação e Implementação de Políticas e Programas para Proteção e Defesa Animal","40","Transferências a Municípios","6","Primária discricionária, decorrente de emendas individuais, considerada no cálculo do RP",0,9247522,10652547,9686077,0,0,2022
"2022","10","Saúde","8581","Estruturação da Rede de Serviços de Atenção Primária à Saúde","40","Transferências a Municípios","6","Primária discricionária, decorrente de emendas individuais, considerada no cálculo do RP",0,40396837,2551335,2551262,0,0,2022
"2022","18","Gestão Ambiental","21A9","Implementação de Programas, Planos e Ações para Melhoria da Qualidade Ambiental Urbana","50","Transferências a Instituições Privadas sem Fins Lucrativos","6","Primária discricionária, decorrente de emendas individuais, considerada no cálculo do RP",0,2500000,2500000,2500000,0,0,2022
"2022","10","Saúde","21CB","Implantação, Ampliação e Melhoria de Sistemas Públicos de Esgotamento Sanitário em Municípios com até 50.000 Habitantes, Exclusive em Regiões Metropolitanas (RM) ou Regiões Integradas de Desenvolvimento Econômico (RIDE)","40","Transferências a Municípios","6","Primária discricionária, decorrente de emendas individuais, considerada no cálculo do RP",0,2136334,2136334,2e+06,0,0,2022
"2022","12","Educação","219V","Apoio ao Funcionamento das Instituições Federais de Educação Superior","90","Aplicações Diretas","7","Primária discricionária, decorrente de emendas de bancada estadual, considerada no cálculo do RP",0,19690000,23228696,23212664,17734750,12911467,2022
"2022","26","Transporte","13X5","Adequação de Travessia Urbana em Imperatriz - na BR-010/MA","90","Aplicações Diretas","7","Primária discricionária, decorrente de emendas de bancada estadual, considerada no cálculo do RP",0,957973,957973,957973,0,0,2022
"2022","15","Urbanismo","00SY","Apoio a Projetos e Obras de Reabilitação, de Acessibilidade e Modernização Tecnológica em Áreas Urbanas","30","Transferências a Estados e ao Distrito Federal","7","Primária discricionária, decorrente de emendas de bancada estadual, considerada no cálculo do RP",0,14052128,0,0,0,0,2022
"2022","06","Segurança Pública","15F9","Aprimoramento da Infraestrutura da Polícia Federal","99","A DEFINIR","6","Primária discricionária, decorrente de emendas individuais, considerada no cálculo do RP",0,1e+06,0,0,0,0,2022
"2022","11","Trabalho","215F","Fomento e Fortalecimento da Economia Solidária","90","Aplicações Diretas","6","Primária discricionária, decorrente de emendas individuais, considerada no cálculo do RP",0,2e+05,2e+05,199724,67916,57518,2022
"2022","10","Saúde","8327","Manutenção de Serviço Laboratorial de Referência para o Controle de Doenças","90","Aplicações Diretas","6","Primária discricionária, decorrente de emendas individuais, considerada no cálculo do RP",0,161760,161760,161760,16176,0,2022
"2022","11","Trabalho","20YY","Estudos, Pesquisas e Geração de Informações sobre Trabalho, Emprego e Renda","50","Transferências a Instituições Privadas sem Fins Lucrativos","6","Primária discricionária, decorrente de emendas individuais, considerada no cálculo do RP",0,216712,1179178,1179178,0,0,2022
"2022","20","Agricultura","20ZV","Fomento ao Setor Agropecuário","40","Transferências a Municípios","6","Primária discricionária, decorrente de emendas individuais, considerada no cálculo do RP",0,41200853,59813565,59812160,1169284,1169284,2022
"2022","12","Educação","20RX","Reestruturação e Modernização dos Hospitais Universitários Federais - REHUF","90","Aplicações Diretas","7","Primária discricionária, decorrente de emendas de bancada estadual, considerada no cálculo do RP",0,39027611,36418297,36416518,15797159,13364830,2022
"2022","12","Educação","0048","Apoio a Entidades de Ensino Superior Não Federais","99","A DEFINIR","6","Primária discricionária, decorrente de emendas individuais, considerada no cálculo do RP",0,8250000,0,0,0,0,2022
"2022","18","Gestão Ambiental","21A8","Formulação e Implementação de Estratégias para Promover a Conservação, a Recuperação e o Uso Sustentável da Biodiversidade, da Vegetação Nativa e do Patrimônio Genético","99","A DEFINIR","6","Primária discricionária, decorrente de emendas individuais, considerada no cálculo do RP",0,2e+05,0,0,0,0,2022
"2022","14","Direitos da Cidadania","00SN","Apoio à implementação da Casa da Mulher Brasileira e de Centros de Atendimento às Mulheres","40","Transferências a Municípios","6","Primária discricionária, decorrente de emendas individuais, considerada no cálculo do RP",0,0,1100000,1100000,0,0,2022
"2022","10","Saúde","8535","Estruturação de Unidades de Atenção Especializada em Saúde","50","Transferências a Instituições Privadas sem Fins Lucrativos","7","Primária discricionária, decorrente de emendas de bancada estadual, considerada no cálculo do RP",0,28207336,39960509,39151508,395436,395436,2022
"2022","10","Saúde","8535","Estruturação de Unidades de Atenção Especializada em Saúde","31","Transferências a Estados e ao Distrito Federal - Fundo a Fundo","7","Primária discricionária, decorrente de emendas de bancada estadual, considerada no cálculo do RP",0,136124626,64587209,55872033,18597455,18597455,2022
"2022","27","Desporto e Lazer","00SL","Apoio à Implantação e Modernização de Infraestrutura para Esporte Educacional, Recreativo e de Lazer","90","Aplicações Diretas","7","Primária discricionária, decorrente de emendas de bancada estadual, considerada no cálculo do RP",0,0,915847,915848,1400,1400,2022
"2022","10","Saúde","6174","Análise da Qualidade de Produtos e Insumos de Saúde","90","Aplicações Diretas","6","Primária discricionária, decorrente de emendas individuais, considerada no cálculo do RP",0,534831,1068701,1055494,805325,0,2022
"2022","06","Segurança Pública","154T","Construção de unidades operacionais e administrativas da PRF","90","Aplicações Diretas","6","Primária discricionária, decorrente de emendas individuais, considerada no cálculo do RP",0,18285000,18315000,18297999,1455900,578462,2022
"2022","13","Cultura","14U2","Implantação, Instalação e Modernização de Espaços e Equipamentos Culturais","30","Transferências a Estados e ao Distrito Federal","8","Primária discricionária, decorrente de emendas de comissão permanente do SF, da CD e de comissão mista permanente do CN, considerada no cálculo do RP",0,0,2054596,2054596,0,0,2022
"2022","13","Cultura","20ZF","Promoção e Fomento à Cultura Brasileira","30","Transferências a Estados e ao Distrito Federal","6","Primária discricionária, decorrente de emendas individuais, considerada no cálculo do RP",0,5850000,2076568,716420,1e+05,0,2022
"2022","05","Defesa Nacional","20IG","Apoio das Forças Armadas à Inclusão Social e à Valorização da Cidadania","90","Aplicações Diretas","6","Primária discricionária, decorrente de emendas individuais, considerada no cálculo do RP",0,3365000,3365000,3361838,2446231,2051473,2022
"2022","19","Ciência e Tecnologia","215L","Fomento à Pesquisa e ao Desenvolvimento Científico e Tecnológico","91","Aplicação Direta Decorrente de Operação entre Órgãos, Fundos e Entidades Integrantes dos Orçamentos F/S","6","Primária discricionária, decorrente de emendas individuais, considerada no cálculo do RP",0,0,13424,0,0,0,2022
"2022","12","Educação","219U","Apoio ao Funcionamento das Instituições da Rede Federal de Educação Profissional, Científica e Tecnológica","91","Aplicação Direta Decorrente de Operação entre Órgãos, Fundos e Entidades Integrantes dos Orçamentos F/S","6","Primária discricionária, decorrente de emendas individuais, considerada no cálculo do RP",0,0,11200,11200,2000,0,2022
"2022","12","Educação","15R4","Apoio à Expansão, Reestruturação e Modernização das Instituições da Rede Federal de Educação Profissional, Científica e Tecnológica","90","Aplicações Diretas","6","Primária discricionária, decorrente de emendas individuais, considerada no cálculo do RP",0,2930000,4955001,4940829,1817699,1574233,2022
"2022","12","Educação","15R4","Apoio à Expansão, Reestruturação e Modernização das Instituições da Rede Federal de Educação Profissional, Científica e Tecnológica","90","Aplicações Diretas","7","Primária discricionária, decorrente de emendas de bancada estadual, considerada no cálculo do RP",0,31354085,37473517,37417402,10694828,7802917,2022
"2022","10","Saúde","20AM","Implementação de Projetos de Coleta, Triagem e Reciclagem de Resíduos Sólidos","50","Transferências a Instituições Privadas sem Fins Lucrativos","6","Primária discricionária, decorrente de emendas individuais, considerada no cálculo do RP",0,0,161466,161466,0,0,2022
"2022","28","Encargos Especiais","00NQ","Contribuição à Associação para Promoção da Excelência do Software Brasileiro - SOFTEX","99","A DEFINIR","6","Primária discricionária, decorrente de emendas individuais, considerada no cálculo do RP",0,1e+05,0,0,0,0,2022
"2022","05","Defesa Nacional","7XM8","Implantação de aeródromo em Santa Rosa do Purus/AC","91","Aplicação Direta Decorrente de Operação entre Órgãos, Fundos e Entidades Integrantes dos Orçamentos F/S","7","Primária discricionária, decorrente de emendas de bancada estadual, considerada no cálculo do RP",0,0,1650,1650,0,0,2022
"2022","20","Agricultura","21B6","Assistência Técnica e Extensão Rural","90","Aplicações Diretas","6","Primária discricionária, decorrente de emendas individuais, considerada no cálculo do RP",0,1650000,96750,96750,0,0,2022
"2022","20","Agricultura","20ZV","Fomento ao Setor Agropecuário","50","Transferências a Instituições Privadas sem Fins Lucrativos","7","Primária discricionária, decorrente de emendas de bancada estadual, considerada no cálculo do RP",0,5852174,0,0,0,0,2022
"2022","04","Administração","2000","Administração da Unidade","90","Aplicações Diretas","6","Primária discricionária, decorrente de emendas individuais, considerada no cálculo do RP",0,3e+05,0,0,0,0,2022
"2022","19","Ciência e Tecnologia","20US","Fomento a Projetos de Pesquisa e Desenvolvimento Científico","50","Transferências a Instituições Privadas sem Fins Lucrativos","6","Primária discricionária, decorrente de emendas individuais, considerada no cálculo do RP",0,350000,0,0,0,0,2022
"2022","13","Cultura","14U2","Implantação, Instalação e Modernização de Espaços e Equipamentos Culturais","99","A DEFINIR","6","Primária discricionária, decorrente de emendas individuais, considerada no cálculo do RP",0,2870000,0,0,0,0,2022
"2022","20","Agricultura","21B9","Promoção e Fortalecimento da Comercialização e Acesso aos Mercados","99","A DEFINIR","6","Primária discricionária, decorrente de emendas individuais, considerada no cálculo do RP",0,950000,0,0,0,0,2022
"2022","13","Cultura","211F","Funcionamento de Espaços e Equipamentos Culturais","50","Transferências a Instituições Privadas sem Fins Lucrativos","6","Primária discricionária, decorrente de emendas individuais, considerada no cálculo do RP",0,150000,1e+05,1e+05,1e+05,1e+05,2022
"2022","05","Defesa Nacional","219D","Adequação de Organizações Militares","90","Aplicações Diretas","6","Primária discricionária, decorrente de emendas individuais, considerada no cálculo do RP",0,18599000,19076366,19066937,4981164,2968832,2022
"2022","12","Educação","20RL","Funcionamento das Instituições da Rede Federal de Educação Profissional, Científica e Tecnológica","91","Aplicação Direta Decorrente de Operação entre Órgãos, Fundos e Entidades Integrantes dos Orçamentos F/S","6","Primária discricionária, decorrente de emendas individuais, considerada no cálculo do RP",0,0,83350,83350,1663,1663,2022
"2022","20","Agricultura","20Y0","Fomento à Produção Pesqueira e Aquícola","99","A DEFINIR","6","Primária discricionária, decorrente de emendas individuais, considerada no cálculo do RP",0,205000,0,0,0,0,2022
"2022","10","Saúde","8535","Estruturação de Unidades de Atenção Especializada em Saúde","40","Transferências a Municípios","7","Primária discricionária, decorrente de emendas de bancada estadual, considerada no cálculo do RP",0,5654718,39774677,39774677,0,0,2022
"2022","06","Segurança Pública","154T","Construção de unidades operacionais e administrativas da PRF","90","Aplicações Diretas","7","Primária discricionária, decorrente de emendas de bancada estadual, considerada no cálculo do RP",0,45984888,45984888,40910479,462478,462478,2022
"2022","10","Saúde","8581","Estruturação da Rede de Serviços de Atenção Primária à Saúde","31","Transferências a Estados e ao Distrito Federal - Fundo a Fundo","7","Primária discricionária, decorrente de emendas de bancada estadual, considerada no cálculo do RP",0,3756342,1918713,1916799,1916799,1916799,2022
"2022","18","Gestão Ambiental","2E87","Apoio à Formulação e Implementação de Políticas e Programas para Proteção e Defesa Animal","50","Transferências a Instituições Privadas sem Fins Lucrativos","6","Primária discricionária, decorrente de emendas individuais, considerada no cálculo do RP",0,750000,3945000,2900000,350000,0,2022
"2022","27","Desporto e Lazer","20JP","Desenvolvimento de Atividades e Apoio a Projetos e Eventos de Esporte, Educação, Lazer e Inclusão Social","99","A DEFINIR","7","Primária discricionária, decorrente de emendas de bancada estadual, considerada no cálculo do RP",0,16352174,0,0,0,0,2022
"2022","12","Educação","2994","Assistência aos Estudantes das Instituições Federais de Educação Profissional e Tecnológica","90","Aplicações Diretas","7","Primária discricionária, decorrente de emendas de bancada estadual, considerada no cálculo do RP",0,1.3e+07,1.3e+07,1.3e+07,4380584,3111273,2022
"2022","21","Organização Agrária","211A","Consolidação de Assentamentos Rurais","90","Aplicações Diretas","6","Primária discricionária, decorrente de emendas individuais, considerada no cálculo do RP",0,550000,550000,550000,0,0,2022
"2022","19","Ciência e Tecnologia","20V6","Fomento à Pesquisa e Desenvolvimento Voltados à Inovação, a Tecnologias Digitais e ao Processo Produtivo","40","Transferências a Municípios","7","Primária discricionária, decorrente de emendas de bancada estadual, considerada no cálculo do RP",0,0,4e+05,4e+05,0,0,2022
"2022","08","Assistência Social","219G","Estruturação da Rede de Serviços do Sistema Único de Assistência Social (SUAS)","50","Transferências a Instituições Privadas sem Fins Lucrativos","6","Primária discricionária, decorrente de emendas individuais, considerada no cálculo do RP",0,1671150,2e+05,0,0,0,2022
"2022","19","Ciência e Tecnologia","20US","Fomento a Projetos de Pesquisa e Desenvolvimento Científico","90","Aplicações Diretas","6","Primária discricionária, decorrente de emendas individuais, considerada no cálculo do RP",0,6e+05,1100000,837595,365867,365867,2022
"2022","26","Transporte","2090","Fiscalização dos Serviços e da Exploração da Infraestrutura do Transporte Aquaviário","90","Aplicações Diretas","6","Primária discricionária, decorrente de emendas individuais, considerada no cálculo do RP",0,4e+05,4e+05,285203,238321,229075,2022
"2022","20","Agricultura","20Y6","Pesquisa e Desenvolvimento de Tecnologias para a Agropecuária","90","Aplicações Diretas","6","Primária discricionária, decorrente de emendas individuais, considerada no cálculo do RP",0,3805000,3905000,3886196,1414214,1228972,2022
"2022","18","Gestão Ambiental","2E87","Apoio à Formulação e Implementação de Políticas e Programas para Proteção e Defesa Animal","90","Aplicações Diretas","6","Primária discricionária, decorrente de emendas individuais, considerada no cálculo do RP",0,5e+05,5e+05,0,0,0,2022
"2022","10","Saúde","8581","Estruturação da Rede de Serviços de Atenção Primária à Saúde","31","Transferências a Estados e ao Distrito Federal - Fundo a Fundo","6","Primária discricionária, decorrente de emendas individuais, considerada no cálculo do RP",0,1622006,8643559,8639271,1795755,1795755,2022
"2022","12","Educação","21B3","Fomento às ações de pesquisa, extensão e inovação nas instituições de ensino de educação profissional e tecnológica","90","Aplicações Diretas","6","Primária discricionária, decorrente de emendas individuais, considerada no cálculo do RP",0,220000,220000,220000,121200,64800,2022
"2022","08","Assistência Social","2798","Aquisição e Distribuição de Alimentos da Agricultura Familiar para Promoção da Segurança Alimentar e Nutricional","90","Aplicações Diretas","7","Primária discricionária, decorrente de emendas de bancada estadual, considerada no cálculo do RP",0,3788773,9283960,9283610,3788423,0,2022
"2022","13","Cultura","218A","Inovação, Difusão e Ampliação do Acesso à Produção Audiovisual Brasileira","50","Transferências a Instituições Privadas sem Fins Lucrativos","6","Primária discricionária, decorrente de emendas individuais, considerada no cálculo do RP",0,1e+06,1e+06,1e+06,0,0,2022
"2022","10","Saúde","6516","Aperfeiçoamento e Avaliação dos Serviços de Hemoterapia e Hematologia","41","Transferências a Municípios - Fundo a Fundo","6","Primária discricionária, decorrente de emendas individuais, considerada no cálculo do RP",0,325921,325921,0,0,0,2022
"2022","10","Saúde","20YD","Educação e Formação em Saúde","31","Transferências a Estados e ao Distrito Federal - Fundo a Fundo","6","Primária discricionária, decorrente de emendas individuais, considerada no cálculo do RP",0,0,372510,0,0,0,2022
"2022","23","Comércio e Serviços","10V0","Apoio a Projetos de Infraestrutura Turística","40","Transferências a Municípios","7","Primária discricionária, decorrente de emendas de bancada estadual, considerada no cálculo do RP",0,1.9e+07,18192527,18192527,0,0,2022
"2022","14","Direitos da Cidadania","21AR","Promoção e Defesa de Direitos Humanos para todos","31","Transferências a Estados e ao Distrito Federal - Fundo a Fundo","6","Primária discricionária, decorrente de emendas individuais, considerada no cálculo do RP",0,3e+05,0,0,0,0,2022
"2022","26","Transporte","7R82","Adequação de Trecho Rodoviário - Divisa DF/GO - Divisa GO/BA - na BR-020/GO","90","Aplicações Diretas","7","Primária discricionária, decorrente de emendas de bancada estadual, considerada no cálculo do RP",0,550000,1e+05,1e+05,1e+05,1e+05,2022
"2022","18","Gestão Ambiental","20WM","Apoio à Criação, Gestão e Implementação das Unidades de Conservação Federais","90","Aplicações Diretas","6","Primária discricionária, decorrente de emendas individuais, considerada no cálculo do RP",0,2e+05,3e+05,199301,0,0,2022
"2022","10","Saúde","8535","Estruturação de Unidades de Atenção Especializada em Saúde","30","Transferências a Estados e ao Distrito Federal","6","Primária discricionária, decorrente de emendas individuais, considerada no cálculo do RP",0,4114275,18153007,15178159,0,0,2022
"2022","27","Desporto e Lazer","20JP","Desenvolvimento de Atividades e Apoio a Projetos e Eventos de Esporte, Educação, Lazer e Inclusão Social","90","Aplicações Diretas","7","Primária discricionária, decorrente de emendas de bancada estadual, considerada no cálculo do RP",0,20750000,700004,0,0,0,2022
"2022","20","Agricultura","20Y7","Desenvolvimento do Abastecimento Agroalimentar","99","A DEFINIR","6","Primária discricionária, decorrente de emendas individuais, considerada no cálculo do RP",0,6e+05,0,0,0,0,2022
"2022","12","Educação","8282","Reestruturação e Modernização das Instituições Federais de Ensino Superior","90","Aplicações Diretas","6","Primária discricionária, decorrente de emendas individuais, considerada no cálculo do RP",0,28330030,29250030,29180396,9863099,5401378,2022
"2022","20","Agricultura","210V","Estruturação e Inclusão Produtiva dos Agricultores Familiares e dos Pequenos e Médios Produtores Rurais","99","A DEFINIR","6","Primária discricionária, decorrente de emendas individuais, considerada no cálculo do RP",0,5959500,0,0,0,0,2022
"2022","05","Defesa Nacional","21A0","Aprestamento das Forças","90","Aplicações Diretas","6","Primária discricionária, decorrente de emendas individuais, considerada no cálculo do RP",0,10141546,10041546,10001747,5318833,4112284,2022
"2022","10","Saúde","20YJ","Fortalecimento do Sistema Nacional de Vigilância em Saúde","99","A DEFINIR","6","Primária discricionária, decorrente de emendas individuais, considerada no cálculo do RP",0,1321292,0,0,0,0,2022
"2022","05","Defesa Nacional","20XM","Prestação de Ensino Assistencial nos Colégios Militares","99","A DEFINIR","6","Primária discricionária, decorrente de emendas individuais, considerada no cálculo do RP",0,501733,0,0,0,0,2022
"2022","19","Ciência e Tecnologia","20US","Fomento a Projetos de Pesquisa e Desenvolvimento Científico","50","Transferências a Instituições Privadas sem Fins Lucrativos","7","Primária discricionária, decorrente de emendas de bancada estadual, considerada no cálculo do RP",0,2352174,2352174,0,0,0,2022
"2022","18","Gestão Ambiental","20VY","Implementação de Ações de Cidadania e Educação Ambiental","50","Transferências a Instituições Privadas sem Fins Lucrativos","6","Primária discricionária, decorrente de emendas individuais, considerada no cálculo do RP",0,6e+05,1112096,1112096,0,0,2022
"2022","11","Trabalho","20YU","Fiscalização de Obrigações Trabalhistas e Inspeção em Segurança e Saúde no Trabalho","90","Aplicações Diretas","6","Primária discricionária, decorrente de emendas individuais, considerada no cálculo do RP",0,350000,350000,0,0,0,2022
"2022","26","Transporte","7X42","Adequação da Travessia Urbana de Petrolina nas BR’s-407/428/PE","90","Aplicações Diretas","7","Primária discricionária, decorrente de emendas de bancada estadual, considerada no cálculo do RP",0,10184000,10184000,10184000,8522183,8390189,2022
"2022","23","Comércio e Serviços","20Y3","Promoção e Marketing do Turismo no Mercado Nacional","99","A DEFINIR","6","Primária discricionária, decorrente de emendas individuais, considerada no cálculo do RP",0,2350000,150000,0,0,0,2022
"2022","10","Saúde","8933","Estruturação de Serviços de Atenção às Urgências e Emergências na Rede Assistencial","41","Transferências a Municípios - Fundo a Fundo","6","Primária discricionária, decorrente de emendas individuais, considerada no cálculo do RP",0,6567270,6972213,5550296,4946798,4946798,2022
"2022","24","Comunicações","20V8","Apoio a Iniciativas e Projetos de Inclusão Digital","90","Aplicações Diretas","6","Primária discricionária, decorrente de emendas individuais, considerada no cálculo do RP",0,9444683,1,0,0,0,2022
"2022","10","Saúde","20YJ","Fortalecimento do Sistema Nacional de Vigilância em Saúde","40","Transferências a Municípios","6","Primária discricionária, decorrente de emendas individuais, considerada no cálculo do RP",0,0,856344,856344,0,0,2022
"2022","19","Ciência e Tecnologia","2F03","Apoio de atividades em pesquisa, desenvolvimento e tecnologia de interesse do desenvolvimento regional no âmbito do Fundo de Desenvolvimento do Centro-Oeste - FDCO (Lei Complementar nº 129, de 8 de janeiro de 2009)","99","A DEFINIR","6","Primária discricionária, decorrente de emendas individuais, considerada no cálculo do RP",0,1000,1000,0,0,0,2022
"2022","07","Relações Exteriores","20I5","Serviços Consulares e de Assistência a Brasileiros no Exterior","90","Aplicações Diretas","6","Primária discricionária, decorrente de emendas individuais, considerada no cálculo do RP",0,4e+05,550000,452090,305380,305380,2022
"2022","10","Saúde","8535","Estruturação de Unidades de Atenção Especializada em Saúde","90","Aplicações Diretas","6","Primária discricionária, decorrente de emendas individuais, considerada no cálculo do RP",0,324799,5,0,0,0,2022
"2022","12","Educação","20RP","Apoio à Infraestrutura para a Educação Básica","30","Transferências a Estados e ao Distrito Federal","6","Primária discricionária, decorrente de emendas individuais, considerada no cálculo do RP",0,3539365,3689365,2622580,0,0,2022
"2022","10","Saúde","2E89","Incremento Temporário ao Custeio dos Serviços de Atenção Primária à Saúde para Cumprimento de Metas","41","Transferências a Municípios - Fundo a Fundo","8","Primária discricionária, decorrente de emendas de comissão permanente do SF, da CD e de comissão mista permanente do CN, considerada no cálculo do RP",0,0,102120486,101671641,57530859,57530859,2022
"2022","20","Agricultura","20Y6","Pesquisa e Desenvolvimento de Tecnologias para a Agropecuária","90","Aplicações Diretas","7","Primária discricionária, decorrente de emendas de bancada estadual, considerada no cálculo do RP",0,3e+06,2978846,2978252,1609791,737543,2022
"2022","10","Saúde","20YL","Estruturação de Academias da Saúde","41","Transferências a Municípios - Fundo a Fundo","6","Primária discricionária, decorrente de emendas individuais, considerada no cálculo do RP",0,3494765,3082183,2370000,0,0,2022
"2022","19","Ciência e Tecnologia","215L","Fomento à Pesquisa e ao Desenvolvimento Científico e Tecnológico","99","A DEFINIR","6","Primária discricionária, decorrente de emendas individuais, considerada no cálculo do RP",0,2e+05,0,0,0,0,2022
"2022","08","Assistência Social","8948","Implantação de Equipamentos e de Tecnologia Social de Acesso à Água para Consumo Humano e Produção de Alimentos","30","Transferências a Estados e ao Distrito Federal","6","Primária discricionária, decorrente de emendas individuais, considerada no cálculo do RP",0,0,538804,538804,0,0,2022
"2022","10","Saúde","21CI","Implantação de Melhorias Sanitárias Domiciliares para Prevenção e Controle de Doenças e Agravos em Localidades Urbanas de Municípios com População até 50.000 Habitantes","40","Transferências a Municípios","6","Primária discricionária, decorrente de emendas individuais, considerada no cálculo do RP",0,533573,1781590,1781590,0,0,2022
"2022","26","Transporte","7N85","Construção de Trecho Rodoviário - Timbé do Sul - Divisa SC/RS - na BR-285/SC","90","Aplicações Diretas","7","Primária discricionária, decorrente de emendas de bancada estadual, considerada no cálculo do RP",0,437500,437500,437500,0,0,2022
"2022","04","Administração","2804","Publicações Oficiais","90","Aplicações Diretas","6","Primária discricionária, decorrente de emendas individuais, considerada no cálculo do RP",0,0,250000,218922,0,0,2022
